stfips,county_name,state,cat_rucc,air_EQI_22July2013,water_EQI_22July2013,land_EQI_22July2013,sociod_EQI_22July2013,built_EQI_22July2013,EQI_22July2013,RUCC1_air_EQI_22July2013,RUCC1_water_EQI_22July2013,RUCC1_land_EQI_22July2013,RUCC1_sociod_EQI_22July2013,RUCC1_built_EQI_22July2013,RUCC1_EQI_22July2013,RUCC2_air_EQI_22July2013,RUCC2_water_EQI_22July2013,RUCC2_land_EQI_22July2013,RUCC2_sociod_EQI_22July2013,RUCC2_built_EQI_22July2013,RUCC2_EQI_22July2013,RUCC3_air_EQI_22July2013,RUCC3_water_EQI_22July2013,RUCC3_land_EQI_22July2013,RUCC3_sociod_EQI_22July2013,RUCC3_built_EQI_22July2013,RUCC3_EQI_22July2013,RUCC4_air_EQI_22July2013,RUCC4_water_EQI_22July2013,RUCC4_land_EQI_22July2013,RUCC4_sociod_EQI_22July2013,RUCC4_built_EQI_22July2013,RUCC4_EQI_22July2013
04003,Cochise County,AZ,2,-0.2554837,1.095507,0.654811,-0.4667789,0.2655236,0.2166094,,,,,,,-1.516524,0.9677639,0.5381415,-0.6593936,-0.6011715,-0.3856556,,,,,,,,,,,,
04005,Coconino County,AZ,1,0.339296,1.054721,-0.2088744,-0.3844011,1.240264,0.5620713,-0.510868,0.9843963,-0.4096594,1.454632,1.059706,-0.0347976,,,,,,,,,,,,,,,,,,
04007,Gila County,AZ,2,-0.4473279,0.8808818,0.6647975,-0.9099241,0.5678383,0.0524288,,,,,,,-2.217827,0.7648252,0.6800636,-0.9450064,0.1861589,-0.5965503,,,,,,,,,,,,
04009,Graham County,AZ,3,-0.4315186,0.7939864,1.034606,-1.125021,-0.1895101,-0.213316,,,,,,,,,,,,,-0.3409249,0.7633932,1.203292,-0.9144326,-0.1990031,0.0401003,,,,,,
04011,Greenlee County,AZ,3,-1.771941,0.8779061,0.7511034,-0.2153562,-1.939036,-1.032213,,,,,,,,,,,,,-2.471331,0.8507262,0.8419617,0.2884554,-2.126254,-0.7118813,,,,,,
04012,La Paz County,AZ,3,-0.6386197,0.9073426,0.3781089,-1.897027,0.2923505,-0.5676031,,,,,,,,,,,,,-0.6706102,0.8789875,0.4735982,-1.417931,0.4923499,-0.4020807,,,,,,
04013,Maricopa County,AZ,1,1.335512,1.297593,0.7711866,0.5285712,0.4955199,1.306952,1.107412,1.236795,0.7957017,0.3977723,0.2912842,0.9044185,,,,,,,,,,,,,,,,,,
04015,Mohave County,AZ,2,0.2069978,0.9303256,0.8185757,-0.3962598,0.4305544,0.4796323,,,,,,,-0.5126866,0.8226508,0.8507926,-0.3724216,-0.2172356,0.0519424,,,,,,,,,,,,
04017,Navajo County,AZ,2,-0.6371492,1.227014,-0.3985684,-2.190428,-0.1279665,-0.9888095,,,,,,,-2.608308,1.098467,-0.4072561,-2.388322,-1.326414,-2.242947,,,,,,,,,,,,
04019,Pima County,AZ,1,0.5803786,1.163192,0.6389926,0.0373885,0.3945816,0.7565903,-0.0018538,1.103216,0.5688608,0.894282,0.1728585,0.1991204,,,,,,,,,,,,,,,,,,
04021,Pinal County,AZ,1,0.0647039,1.084037,1.099522,-0.7630062,-0.4895064,0.0618214,-0.8887699,1.025424,1.163234,1.473099,-0.9136717,-0.5983718,,,,,,,,,,,,,,,,,,
04023,Santa Cruz County,AZ,2,-0.052243,1.148265,0.4264322,-1.627736,0.0189262,-0.3007109,,,,,,,-1.064596,1.025284,0.4755298,-2.13523,-1.076297,-1.157899,,,,,,,,,,,,
04025,Yavapai County,AZ,1,-0.1785471,0.9824299,0.7650616,0.2213009,0.7511365,0.693247,-1.235211,0.9249802,0.6647203,0.452668,0.4971804,0.0028282,,,,,,,,,,,,,,,,,,
04027,Yuma County,AZ,1,0.3541513,0.9618529,0.5265109,-1.79345,-0.104148,-0.274309,-0.3428308,0.9072139,0.5515532,2.772436,-0.4066362,-0.8520548,,,,,,,,,,,,,,,,,,
